epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82242,1.10662,2.4531,1.22569,0.61306,0.04808,0.03897,0.00718,2.18229,3.77913,3.10955,0.0013,0.0013,0.0883
2,7.85185,1.26964,1.47366,1.33876,0.36036,0.27717,0.19502,0.0934,2.63157,inf,9.22492,0.00267327,0.00267327,0.0756733
3,9.84967,1.28971,1.21914,1.33376,0.07069,0.21446,0.03888,0.00979,3.30345,84.2351,25.0076,0.00401882,0.00401882,0.0630188
4,11.8371,1.30974,1.20393,1.31899,0.08153,0.12333,0.01413,0.00302,3.54966,inf,36.0334,0.00533665,0.00533665,0.0503367
5,13.8017,1.30144,1.11551,1.31141,0.01903,0.25878,0.01041,0.00245,3.61739,inf,20.778,0.00662676,0.00662676,0.0376268
6,15.8183,1.218,1.0313,1.2604,0.33408,0.15155,0.17856,0.03539,3.35883,inf,17.6739,0.00788915,0.00788915,0.0248891
7,17.7825,1.20999,0.99603,1.27952,0.19538,0.2663,0.23406,0.08038,2.62773,100.857,5.71363,0.00912382,0.00912382,0.0121238
8,19.7178,1.20146,0.91826,1.23306,0.875,0.09783,0.23242,0.10815,2.32144,18.3817,3.12963,0.009307,0.009307,0.009307
9,21.6807,1.12533,0.86832,1.22098,0.28167,0.36037,0.25079,0.12918,1.9099,6.45869,2.07706,0.009208,0.009208,0.009208
10,23.7004,1.09268,0.89352,1.19965,0.56442,0.56083,0.58192,0.30672,1.61201,4.09084,1.65244,0.009109,0.009109,0.009109
11,25.5976,1.06251,0.81698,1.16657,0.2895,0.3587,0.3639,0.15944,1.86998,5.21084,1.83551,0.00901,0.00901,0.00901
12,27.4946,1.07192,0.77132,1.13463,0.39907,0.36225,0.3575,0.18935,2.21093,3.54881,2.58433,0.008911,0.008911,0.008911
13,29.3673,1.01265,0.72969,1.13186,0.93035,0.30978,0.36995,0.18263,2.20453,2.93497,2.51283,0.008812,0.008812,0.008812
14,31.292,1.01798,0.71141,1.1168,0.47368,0.42621,0.46238,0.2356,1.85918,2.15603,1.95757,0.008713,0.008713,0.008713
15,33.1892,0.97116,0.70277,1.12393,0.54597,0.54101,0.52883,0.27556,1.81481,2.03558,1.96374,0.008614,0.008614,0.008614
16,35.0958,0.94321,0.68643,1.08462,0.846,0.81225,0.83238,0.5021,1.23745,1.19933,1.3096,0.008515,0.008515,0.008515
17,36.9751,0.9206,0.66497,1.06864,0.90112,0.88566,0.93099,0.63518,1.04021,1.01713,1.15007,0.008416,0.008416,0.008416
18,38.8908,0.93575,0.6615,1.06166,0.75956,0.8148,0.87946,0.56671,1.14766,1.18442,1.20594,0.008317,0.008317,0.008317
19,40.7851,0.92806,0.62907,1.07718,0.89737,0.84773,0.90923,0.59986,1.16799,0.83493,1.21995,0.008218,0.008218,0.008218
20,42.6963,0.92467,0.63913,1.08043,0.88536,0.82502,0.89998,0.61057,1.07723,0.86737,1.1579,0.008119,0.008119,0.008119
21,44.6058,0.91011,0.62505,1.04351,0.81832,0.81647,0.87022,0.58021,1.10323,0.90297,1.14337,0.00802,0.00802,0.00802
22,46.5295,0.88918,0.60808,1.06085,0.86395,0.87097,0.90188,0.60628,1.10208,0.84001,1.13213,0.007921,0.007921,0.007921
23,48.4173,0.89302,0.60025,1.03731,0.92621,0.94236,0.9445,0.62398,1.07242,0.73921,1.13249,0.007822,0.007822,0.007822
24,50.3013,0.87401,0.58804,1.04163,0.96875,0.95822,0.96711,0.69751,0.95199,0.68586,1.05635,0.007723,0.007723,0.007723
25,52.2074,0.86979,0.59504,1.03273,0.96766,0.94415,0.9695,0.66001,1.06467,0.68334,1.14134,0.007624,0.007624,0.007624
26,54.0998,0.86831,0.56444,1.02593,0.67829,0.67719,0.70824,0.40306,1.44944,1.57989,1.47467,0.007525,0.007525,0.007525
27,56.0242,0.85299,0.57017,1.01432,0.92018,0.92161,0.95315,0.65862,1.01785,0.69423,1.10226,0.007426,0.007426,0.007426
28,57.953,0.85492,0.56822,1.02308,0.83066,0.87646,0.91475,0.59378,1.06931,0.84659,1.11503,0.007327,0.007327,0.007327
29,59.8624,0.83917,0.56552,1.0074,0.90649,0.93883,0.96488,0.68556,1.00661,0.65739,1.10455,0.007228,0.007228,0.007228
30,61.7525,0.84032,0.55143,1.01776,0.95325,0.9683,0.97375,0.70904,0.92662,0.60415,1.04222,0.007129,0.007129,0.007129
31,63.6783,0.83583,0.54961,0.99977,0.96601,0.9536,0.97274,0.67364,1.01156,0.6188,1.05296,0.00703,0.00703,0.00703
32,65.5965,0.82621,0.52763,0.9999,0.9268,0.94165,0.96245,0.72015,0.88302,0.60892,1.02964,0.006931,0.006931,0.006931
33,67.5562,0.79686,0.5301,0.99341,0.94659,0.95422,0.96942,0.71168,0.92358,0.62721,1.02688,0.006832,0.006832,0.006832
34,69.4636,0.81653,0.52084,1.00938,0.90352,0.93164,0.95382,0.6896,0.97647,0.62505,1.06175,0.006733,0.006733,0.006733
35,71.3508,0.80526,0.52333,0.9882,0.94399,0.9283,0.96881,0.72001,0.937,0.5673,1.02695,0.006634,0.006634,0.006634
36,73.2478,0.81538,0.50573,1.0008,0.68894,0.71273,0.71367,0.44503,1.26296,1.20154,1.29521,0.006535,0.006535,0.006535
37,75.1243,0.80456,0.49676,0.99757,0.62792,0.66492,0.65802,0.40285,1.42216,1.51285,1.40959,0.006436,0.006436,0.006436
38,77.05,0.76254,0.49441,0.96983,0.96666,0.95264,0.97396,0.71111,0.93707,0.56408,1.03971,0.006337,0.006337,0.006337
39,78.975,0.77145,0.49342,0.97774,0.96931,0.9509,0.97755,0.71334,0.89413,0.54339,1.0122,0.006238,0.006238,0.006238
40,80.8568,0.77497,0.49033,0.99225,0.97515,0.94662,0.96932,0.7042,0.90399,0.57277,1.04224,0.006139,0.006139,0.006139
41,82.7365,0.75856,0.49747,0.98433,0.96899,0.96927,0.97734,0.72612,0.90475,0.54223,1.02557,0.00604,0.00604,0.00604
42,84.6817,0.80168,0.50163,0.98844,0.98369,0.96866,0.98127,0.73363,0.86933,0.53234,1.02172,0.005941,0.005941,0.005941
43,86.5718,0.77983,0.48422,0.97422,0.64439,0.76296,0.71503,0.45052,1.26899,1.32434,1.36349,0.005842,0.005842,0.005842
44,88.4739,0.79005,0.49312,0.98521,0.95127,0.93499,0.97649,0.73477,0.89258,0.552,1.02153,0.005743,0.005743,0.005743
45,90.3766,0.80352,0.49856,0.97626,0.93526,0.95354,0.97893,0.69886,0.97186,0.58539,1.04884,0.005644,0.005644,0.005644
46,92.2762,0.80171,0.4798,0.99001,0.91731,0.95264,0.9744,0.72698,0.92825,0.60616,1.03196,0.005545,0.005545,0.005545
