epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.89888,0.99337,2.27306,1.13159,0.88793,0.17788,0.26481,0.17707,1.2767,2.76915,1.35109,0.00065,0.00065,0.08765
2,5.84009,1.05317,1.1108,1.15188,0.7045,0.19231,0.19937,0.06913,1.73562,4.2318,2.4568,0.0013419,0.0013419,0.0743419
3,7.76954,1.09423,1.04905,1.2214,0.6355,0.19231,0.30266,0.14253,1.78381,6.59756,2.2469,0.0020254,0.0020254,0.0610254
4,9.72576,1.04144,0.93853,1.13078,0.11226,0.53679,0.18431,0.07649,2.4123,3.55699,2.26926,0.0027005,0.0027005,0.0477005
5,11.7658,1.01715,0.83559,1.09935,0.06129,0.2569,0.04554,0.01863,2.10452,4.09233,2.07843,0.0033672,0.0033672,0.0343672
6,13.706,0.97401,0.80353,1.09499,0.16539,0.10472,0.07144,0.02405,2.99187,4.70446,4.6266,0.0040255,0.0040255,0.0210255
7,15.627,1.0199,0.81489,1.10023,0.01177,0.31396,0.0066,0.00203,2.13386,inf,2.06077,0.0046754,0.0046754,0.0076754
8,17.583,0.96216,0.7632,1.07671,0.19239,0.55477,0.2275,0.12494,1.47298,18.462,1.46139,0.00479,0.00479,0.00479
9,19.4921,0.95442,0.70332,1.09932,0.4891,0.5074,0.5092,0.31379,1.37291,2.35298,1.3618,0.00476,0.00476,0.00476
10,21.4157,0.94418,0.71272,1.08387,0.39233,0.3635,0.38864,0.22775,1.40328,2.31233,1.39066,0.00473,0.00473,0.00473
11,23.3311,0.93095,0.69112,1.06848,0.66611,0.74031,0.78761,0.52301,1.17515,1.37057,1.21204,0.0047,0.0047,0.0047
12,25.3027,0.95587,0.71696,1.07426,0.78397,0.82901,0.86644,0.58613,1.03251,1.11345,1.13338,0.00467,0.00467,0.00467
13,27.2434,0.94117,0.67504,1.07424,0.79513,0.62235,0.78778,0.51642,1.12042,1.17011,1.18277,0.00464,0.00464,0.00464
14,29.2982,0.9212,0.67471,1.07656,0.78599,0.85206,0.88532,0.60644,1.10157,0.9197,1.15268,0.00461,0.00461,0.00461
15,31.2328,0.90488,0.66202,1.063,0.90319,0.83758,0.91856,0.62427,1.06702,0.88024,1.13521,0.00458,0.00458,0.00458
16,33.1686,0.89163,0.62311,1.05217,0.8465,0.88365,0.92294,0.60635,1.08414,1.06056,1.16208,0.00455,0.00455,0.00455
17,35.0898,0.87018,0.61963,1.02206,0.91613,0.90731,0.94286,0.62758,1.09506,1.04897,1.13009,0.00452,0.00452,0.00452
18,37.0307,0.86061,0.61482,1.01472,0.93927,0.90196,0.96223,0.68663,0.92413,0.84053,1.05282,0.00449,0.00449,0.00449
19,38.9614,0.881,0.60982,1.05071,0.92611,0.86375,0.96119,0.7054,0.92314,0.77772,1.04849,0.00446,0.00446,0.00446
20,40.9072,0.86148,0.61115,1.02503,0.95478,0.93898,0.97269,0.70921,0.86318,0.7349,1.02716,0.00443,0.00443,0.00443
21,42.851,0.88287,0.60862,1.03684,0.78114,0.62345,0.72543,0.3689,1.50806,3.08384,1.42165,0.0044,0.0044,0.0044
22,44.7793,0.83858,0.58166,1.00647,0.91858,0.84062,0.92625,0.63235,1.04419,0.8786,1.20524,0.00437,0.00437,0.00437
23,46.6938,0.83404,0.59997,1.0545,0.92302,0.93855,0.97963,0.71701,0.89924,0.58539,1.02642,0.00434,0.00434,0.00434
24,48.7008,0.8192,0.5701,1.0172,0.95662,0.95004,0.96979,0.72272,0.85827,0.59084,1.01198,0.00431,0.00431,0.00431
25,50.608,0.81362,0.54903,1.0135,0.87531,0.94356,0.96748,0.70667,0.89094,0.62676,1.02414,0.00428,0.00428,0.00428
26,52.529,0.80044,0.54006,0.99518,0.82551,0.96512,0.96065,0.67136,0.93098,0.72374,1.05414,0.00425,0.00425,0.00425
27,54.4366,0.8485,0.55911,1.01363,0.79898,0.96028,0.91227,0.66435,0.88958,0.75049,1.03247,0.00422,0.00422,0.00422
28,56.3601,0.85297,0.54212,1.03113,0.94393,0.93612,0.97703,0.72672,0.87565,0.56322,1.02243,0.00419,0.00419,0.00419
29,58.2785,0.78986,0.532,0.99466,0.95718,0.97551,0.97631,0.72187,0.88001,0.53855,1.01354,0.00416,0.00416,0.00416
30,60.2085,0.81561,0.52039,1.00638,0.95153,0.9828,0.97819,0.70162,0.92592,0.54334,1.03396,0.00413,0.00413,0.00413
31,62.1154,0.81477,0.51698,1.00613,0.96903,0.94384,0.97936,0.74518,0.84545,0.52581,1.02374,0.0041,0.0041,0.0041
32,64.1057,0.81044,0.52075,0.99143,0.95147,0.97533,0.97926,0.73819,0.84672,0.50145,0.9929,0.00407,0.00407,0.00407
33,66.0378,0.80414,0.52436,0.9908,0.75414,0.79751,0.80385,0.57308,1.06837,1.02214,1.13806,0.00404,0.00404,0.00404
34,68.0797,0.78464,0.49827,0.96423,0.91236,0.97323,0.96837,0.72136,0.86847,0.5437,1.00037,0.00401,0.00401,0.00401
35,70.0193,0.8193,0.52197,1.01221,0.9266,0.9561,0.96713,0.62296,1.10005,0.61415,1.12861,0.00398,0.00398,0.00398
36,71.9646,0.7663,0.49211,0.97688,0.85952,0.93917,0.94136,0.66478,0.93071,0.70448,1.06372,0.00395,0.00395,0.00395
