epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.80692,1.02248,12.3917,1.16341,0.5661,0.08173,0.02845,0.00756,2.03155,19.458,2.66177,0.00065,0.00065,0.08765
2,5.77722,1.18801,6.29588,1.21407,0.7307,0.21154,0.2461,0.10665,1.76992,22.8671,2.29125,0.0013419,0.0013419,0.0743419
3,7.74257,1.19853,5.92762,1.3092,0.00668,0.29348,0.08735,0.02755,2.43302,54.9004,5.73864,0.0020254,0.0020254,0.0610254
4,9.69758,1.1902,4.86946,1.21045,0.09081,0.2778,0.03564,0.01275,2.2749,64.7262,3.47491,0.0027005,0.0027005,0.0477005
5,11.7207,1.08241,4.29997,1.1678,0.27462,0.21254,0.18365,0.05844,2.83818,53.0936,7.24076,0.0033672,0.0033672,0.0343672
6,13.692,1.12741,4.39201,1.19601,0.25042,0.35452,0.23493,0.11998,2.51741,103.625,10.8262,0.0040255,0.0040255,0.0210255
7,15.6688,1.10062,4.02348,1.16723,0.29662,0.2916,0.27044,0.11875,2.40589,50.5929,4.94016,0.0046754,0.0046754,0.0076754
8,17.656,1.08258,3.92198,1.15318,0.38622,0.38148,0.35211,0.19193,2.09352,21.3516,3.93254,0.00479,0.00479,0.00479
9,19.6015,1.06549,3.90574,1.18522,0.45366,0.50146,0.4326,0.23261,1.93443,26.4499,2.68384,0.00476,0.00476,0.00476
10,21.5959,1.09639,4.01458,1.18961,0.40516,0.46551,0.44011,0.24568,1.89549,19.4353,2.57601,0.00473,0.00473,0.00473
11,23.5196,1.05508,3.71945,1.15506,0.77382,0.76093,0.80498,0.46054,1.36414,7.77187,1.55127,0.0047,0.0047,0.0047
12,25.4557,1.09857,3.98474,1.18486,0.7956,0.70213,0.7684,0.42808,1.57288,6.89431,1.87496,0.00467,0.00467,0.00467
13,27.3376,1.09918,3.71355,1.18978,0.75985,0.83308,0.86474,0.53179,1.19006,5.81057,1.53439,0.00464,0.00464,0.00464
14,29.2809,1.03697,3.55898,1.16039,0.87794,0.71185,0.80657,0.47937,1.32036,6.9156,1.47725,0.00461,0.00461,0.00461
15,31.2521,0.97143,3.31534,1.11476,0.93688,0.84511,0.94693,0.63598,1.05789,5.18077,1.26359,0.00458,0.00458,0.00458
16,33.1705,0.98831,3.29841,1.12772,0.86189,0.91652,0.92868,0.57861,1.15155,5.59139,1.24342,0.00455,0.00455,0.00455
17,35.0341,0.98769,3.23005,1.09708,0.89508,0.93319,0.95096,0.64644,1.06036,4.88115,1.20464,0.00452,0.00452,0.00452
18,36.9438,0.99376,3.15554,1.0949,0.85753,0.86488,0.91997,0.57941,1.12949,6.61822,1.19248,0.00449,0.00449,0.00449
19,38.8129,1.00156,3.28355,1.13095,0.9021,0.86613,0.9621,0.64467,1.06737,3.68706,1.17521,0.00446,0.00446,0.00446
20,40.7013,0.95959,3.09897,1.09459,0.94894,0.92384,0.96089,0.66723,1.04728,3.33553,1.15326,0.00443,0.00443,0.00443
21,42.5603,0.91574,2.98835,1.08395,0.91964,0.96578,0.97602,0.67563,1.00262,3.19349,1.10779,0.0044,0.0044,0.0044
