epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.99146,1.32297,2.39382,1.13212,0.00493,0.3564,0.03576,0.00968,2.99878,3.52767,2.26727,0.00065,0.00065,0.08765
2,6.07148,1.38293,1.20452,1.13117,0.68827,0.10096,0.16577,0.08591,2.29684,3.58052,2.00214,0.0013419,0.0013419,0.0743419
3,8.17559,1.45482,1.07852,1.2071,0.43188,0.48181,0.30084,0.20647,2.17098,6.6253,1.9525,0.0020254,0.0020254,0.0610254
4,10.2399,1.38964,0.90882,1.11637,0.31746,0.60681,0.37532,0.16701,2.25393,12.3337,2.24074,0.0027005,0.0027005,0.0477005
5,12.3931,1.35777,0.81186,1.10337,0.29044,0.57358,0.29983,0.16377,1.85136,13.675,1.62726,0.0033672,0.0033672,0.0343672
6,14.4555,1.34696,0.8505,1.11567,0.2575,0.39172,0.29427,0.13188,2.54643,10.8951,2.36788,0.0040255,0.0040255,0.0210255
7,16.4749,1.33856,0.81073,1.10728,0.48303,0.35775,0.39831,0.17788,2.67785,2.8597,2.34656,0.0046754,0.0046754,0.0076754
8,18.5175,1.32504,0.77566,1.09068,0.40411,0.41074,0.33841,0.16639,2.57375,95.8232,1.97805,0.00479,0.00479,0.00479
9,20.5341,1.26797,0.73659,1.09927,0.74727,0.74804,0.77585,0.49814,1.48891,1.27535,1.23753,0.00476,0.00476,0.00476
10,22.5835,1.279,0.73937,1.09541,0.76466,0.64852,0.70372,0.44856,1.72419,1.45364,1.45808,0.00473,0.00473,0.00473
11,24.6086,1.28156,0.72292,1.0849,0.54429,0.50125,0.49546,0.27545,2.10478,2.30635,1.52939,0.0047,0.0047,0.0047
12,26.657,1.31437,0.72807,1.09436,0.55632,0.70966,0.63743,0.36079,1.8271,1.55565,1.29205,0.00467,0.00467,0.00467
13,28.696,1.3097,0.70445,1.09447,0.71152,0.69437,0.71752,0.45085,1.70637,2.12776,1.37144,0.00464,0.00464,0.00464
14,30.7489,1.19943,0.65813,1.06679,0.72387,0.82379,0.75596,0.49463,1.42975,3.16128,1.18153,0.00461,0.00461,0.00461
15,32.7634,1.18522,0.64474,1.0566,0.72087,0.8117,0.76916,0.49553,1.52015,1.8466,1.23902,0.00458,0.00458,0.00458
16,34.8784,1.16757,0.62266,1.04597,0.88137,0.82309,0.9078,0.63829,1.2742,1.08749,1.09169,0.00455,0.00455,0.00455
17,36.9119,1.16891,0.61711,1.02942,0.9346,0.90262,0.93575,0.64035,1.37898,0.904,1.15247,0.00452,0.00452,0.00452
