epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8083,0.90805,4.68609,0.00647,0.00889,0.85714,0.08319,0.03147,1.22602,3.41321,0.01078,7e-05,7e-05,0.09307
2,15.3823,0.97983,2.80522,0.00673,0,0,0,0,2.7934,4.23261,0.03274,0.00014865,0.00014865,0.0851487
3,16.704,0.86483,1.76612,0.00619,0,0,0,0,2.66156,4.73475,0.03093,0.00022586,0.00022586,0.0772259
4,18.0872,0.76299,1.3201,0.00508,0,0,0,0,1.92581,5.053,0.01942,0.00030163,0.00030163,0.0693016
5,19.437,0.82065,1.08428,0.0053,0,0,0,0,1.61337,4.34033,0.01685,0.00037596,0.00037596,0.061376
6,20.8736,0.81816,0.85955,0.00564,0,0,0,0,1.1339,4.2824,0.0102,0.00044885,0.00044885,0.0534488
7,22.1696,0.75112,0.75302,0.00517,1,0.00893,0.50446,0.40357,0.98236,4.04684,0.00847,0.0005203,0.0005203,0.0455203
8,23.4926,0.77237,0.74725,0.00564,0.93617,0.39286,0.67314,0.48684,1.14366,3.65186,0.00961,0.00059031,0.00059031,0.0375903
9,24.8159,0.66374,0.64985,0.00421,0.752,0.83929,0.85709,0.58233,1.21168,3.27025,0.0101,0.00065888,0.00065888,0.0296589
10,26.2126,0.72501,0.64613,0.00485,0.6,0.91071,0.88159,0.59722,1.17441,2.95942,0.00963,0.00072601,0.00072601,0.021726
11,27.5388,0.68571,0.56334,0.0048,0.48649,0.96429,0.92137,0.55108,1.45101,2.55166,0.01231,0.0007917,0.0007917,0.0137917
12,28.8529,0.71406,0.54548,0.00503,0.45679,0.99107,0.90928,0.5314,1.54481,2.30283,0.01331,0.00085595,0.00085595,0.00585595
13,30.144,0.67255,0.53279,0.00453,0.42045,0.99107,0.90543,0.57861,1.364,2.05955,0.01165,0.000892,0.000892,0.000892
14,31.5362,0.6854,0.53868,0.00482,0.38621,1,0.91314,0.61383,1.2223,1.7186,0.01021,0.000883,0.000883,0.000883
15,32.8483,0.66284,0.49271,0.00433,0.93515,0.64378,0.93542,0.61805,1.24022,1.27393,0.01024,0.000874,0.000874,0.000874
16,34.1457,0.61529,0.46658,0.00453,0.93826,0.81408,0.94462,0.59898,1.35116,0.91063,0.01149,0.000865,0.000865,0.000865
17,35.4439,0.68689,0.46566,0.00496,0.85856,0.81298,0.94705,0.58191,1.44483,0.7225,0.01236,0.000856,0.000856,0.000856
18,36.8681,0.65639,0.41936,0.00468,0.8597,0.86607,0.95955,0.56941,1.51586,0.63595,0.01296,0.000847,0.000847,0.000847
19,38.1577,0.68753,0.43135,0.00468,0.91783,0.85714,0.96353,0.60042,1.36968,0.60601,0.01178,0.000838,0.000838,0.000838
